user_profile_introduce_id,interest_id
1-1-introduce,interest-java
1-1-introduce,interest-react
1-1-introduce,interest-spring
1-1-introduce,interest-docker
1-1-introduce,interest-video-games
1-1-introduce,interest-coffee
1-1-introduce,interest-beer
1-1-introduce,interest-esports
1-1-introduce,interest-youtube
2-2-introduce,interest-python
2-2-introduce,interest-nodejs
2-2-introduce,interest-mongodb
2-2-introduce,interest-mobile-games
2-2-introduce,interest-manga
2-2-introduce,interest-cooking
2-2-introduce,interest-travel
2-2-introduce,interest-music-hiphop
2-2-introduce,interest-anime
